04:24:46:813 AWT-EventQueue-0: Build 898.3, Sep 23, 2009 5:03:56 PM
04:25:25:879 AWT-EventQueue-0: Market rule file /Users/david/lab616/third_party/java/ib-tws-898/IBJts/dbuhtmvwt/Fri.rul does not exist or is removed
Jolt logger configuration is done.
04:25:33:216 JTS-SocketListener-31: API server listening on port 7496
04:25:38:636 JTS-CCPDispatcher-20: MainWindowBatchProcessor: All rows have been created
04:25:40:345 AWT-EventQueue-0: No data of type ConAdj is available for the exchange 'CBOE' and the security type 'Index'
04:25:40:399 AWT-EventQueue-0: No data of type ConAdj is available for the exchange 'NYSE' and the security type 'Index'
04:35:59:500 JTS-CCPPing-12: Warning: not received heartbeat at 634000 elapsed:11000
04:37:09:515 JTS-CCPPing-12: Warning: not received heartbeat at 704000 elapsed:11000
04:37:53:517 JTS-CCPPing-12: Warning: not received heartbeat at 748000 elapsed:11000
04:47:23:535 JTS-CCPPing-12: Warning: not received heartbeat at 1318000 elapsed:11000
04:47:24:535 JTS-CCPPing-12: Warning: not received heartbeat at 1319000 elapsed:12000
04:47:25:536 JTS-CCPPing-12: Warning: not received heartbeat at 1320000 elapsed:13000
04:47:26:536 JTS-CCPPing-12: Warning: not received heartbeat at 1321000 elapsed:14000
04:47:27:536 JTS-CCPPing-12: Warning: sending test request at 1322000
04:59:53:577 JTS-CCPPing-12: Warning: not received heartbeat at 2068000 elapsed:11000
04:59:54:577 JTS-CCPPing-12: Warning: not received heartbeat at 2069000 elapsed:12000
04:59:55:577 JTS-CCPPing-12: Warning: not received heartbeat at 2070000 elapsed:13000
05:10:13:655 JTS-CCPPing-12: Warning: not received heartbeat at 2688000 elapsed:11000
05:10:14:656 JTS-CCPPing-12: Warning: not received heartbeat at 2689000 elapsed:12000
05:10:15:656 JTS-CCPPing-12: Warning: not received heartbeat at 2690000 elapsed:13000
05:10:16:656 JTS-CCPPing-12: Warning: not received heartbeat at 2691000 elapsed:14000
05:10:17:657 JTS-CCPPing-12: Warning: sending test request at 2692000
05:16:57:710 JTS-CCPPing-12: Warning: not received heartbeat at 3092000 elapsed:11000
05:17:57:713 JTS-CCPPing-12: Warning: not received heartbeat at 3152000 elapsed:11000
05:18:37:716 JTS-CCPPing-12: Warning: not received heartbeat at 3192000 elapsed:11000
05:18:57:717 JTS-CCPPing-12: Warning: not received heartbeat at 3212000 elapsed:11000
05:19:17:719 JTS-CCPPing-12: Warning: not received heartbeat at 3232000 elapsed:11000
05:22:03:731 JTS-CCPPing-12: Warning: not received heartbeat at 3398000 elapsed:11000
05:22:04:731 JTS-CCPPing-12: Warning: not received heartbeat at 3399000 elapsed:12000
05:38:13:792 JTS-CCPPing-12: Warning: not received heartbeat at 4368000 elapsed:11000
05:38:14:793 JTS-CCPPing-12: Warning: not received heartbeat at 4369000 elapsed:12000
05:38:15:793 JTS-CCPPing-12: Warning: not received heartbeat at 4370000 elapsed:13000
05:38:16:793 JTS-CCPPing-12: Warning: not received heartbeat at 4371000 elapsed:14000
05:38:17:794 JTS-CCPPing-12: Warning: sending test request at 4372000
05:45:23:818 JTS-CCPPing-12: Warning: not received heartbeat at 4798000 elapsed:11000
05:45:24:818 JTS-CCPPing-12: Warning: not received heartbeat at 4799000 elapsed:12000
05:45:25:818 JTS-CCPPing-12: Warning: not received heartbeat at 4800000 elapsed:13000
05:45:26:818 JTS-CCPPing-12: Warning: not received heartbeat at 4801000 elapsed:14000
05:47:23:815 JTS-CCPPing-12: Warning: not received heartbeat at 4918000 elapsed:11000
05:54:03:849 JTS-CCPPing-12: Warning: not received heartbeat at 5318000 elapsed:11000
05:54:04:849 JTS-CCPPing-12: Warning: not received heartbeat at 5319000 elapsed:12000
05:54:05:849 JTS-CCPPing-12: Warning: not received heartbeat at 5320000 elapsed:13000
05:54:06:850 JTS-CCPPing-12: Warning: not received heartbeat at 5321000 elapsed:14000
05:54:07:850 JTS-CCPPing-12: Warning: sending test request at 5322000
05:58:27:869 JTS-CCPPing-12: Warning: not received heartbeat at 5582000 elapsed:11000
06:02:33:884 JTS-CCPPing-12: Warning: not received heartbeat at 5828000 elapsed:11000
06:02:34:884 JTS-CCPPing-12: Warning: not received heartbeat at 5829000 elapsed:12000
06:02:35:885 JTS-CCPPing-12: Warning: not received heartbeat at 5830000 elapsed:13000
06:02:36:885 JTS-CCPPing-12: Warning: not received heartbeat at 5831000 elapsed:14000
06:02:37:886 JTS-CCPPing-12: Warning: sending test request at 5832000
06:06:59:901 JTS-CCPPing-12: Warning: not received heartbeat at 6094000 elapsed:11000
06:07:00:901 JTS-CCPPing-12: Warning: not received heartbeat at 6095000 elapsed:12000
06:07:01:901 JTS-CCPPing-12: Warning: not received heartbeat at 6096000 elapsed:13000
06:07:02:901 JTS-CCPPing-12: Warning: not received heartbeat at 6097000 elapsed:14000
06:07:03:901 JTS-CCPPing-12: Warning: sending test request at 6098000
06:07:42:904 JTS-CCPPing-12: Warning: not received heartbeat at 6137000 elapsed:11000
06:10:42:914 JTS-CCPPing-12: Warning: not received heartbeat at 6317000 elapsed:11000
06:11:03:916 JTS-CCPPing-12: Warning: not received heartbeat at 6338000 elapsed:11000
06:19:42:938 JTS-CCPPing-12: Warning: not received heartbeat at 6857000 elapsed:11000
06:29:02:968 JTS-CCPPing-12: Warning: not received heartbeat at 7417000 elapsed:11000
06:34:42:992 JTS-CCPPing-12: Warning: not received heartbeat at 7757000 elapsed:11000
06:37:52:993 JTS-CCPPing-12: Warning: not received heartbeat at 7947000 elapsed:11000
06:39:14:003 JTS-CCPPing-12: Warning: not received heartbeat at 8028000 elapsed:11000
